step,data_loss,penalty,objective,optimality,b,w_area,w_age
1.200000000000000000e+01,7.483140552084199953e+03,5.135206207228430912e+02,7.996661172807042931e+03,1.658026365589970297e+01,3.319203307111111371e+03,2.065231478517421806e+02,-2.190072065018021163e+01
1.300000000000000000e+01,7.425046332485188032e+03,5.219454459331176395e+02,7.946991778418305330e+03,1.335680286813778217e+01,3.319203307111111371e+03,2.097592447372437334e+02,-2.241214837873321741e+01
1.400000000000000000e+01,7.385931433146166455e+03,5.287665610244628169e+02,7.914697994170629499e+03,1.076040887088668363e+01,3.319203307111111371e+03,2.123661941235074835e+02,-2.283936243943811917e+01
1.500000000000000000e+01,7.359409447893169272e+03,5.342892407155064802e+02,7.893698688608676093e+03,8.669023388051435575e+00,3.319203307111111371e+03,2.144663854326733770e+02,-2.319576548815692973e+01
1.600000000000000000e+01,7.341281319425596848e+03,5.387606490646437578e+02,7.880041968490240833e+03,6.984361141118064609e+00,3.319203307111111371e+03,2.161583850394728188e+02,-2.349273448659872798e+01
1.700000000000000000e+01,7.328778409774294232e+03,5.423809011421194555e+02,7.871159310916413233e+03,5.627276821503937931e+00,3.319203307111111371e+03,2.175215762290138741e+02,-2.373990118945366135e+01
1.800000000000000000e+01,7.320069072705605322e+03,5.453120190542189221e+02,7.865381091759823903e+03,4.534035526586619014e+00,3.319203307111111371e+03,2.186198948911205662e+02,-2.394540026221144302e+01
1.900000000000000000e+01,7.313936675916781496e+03,5.476851831407985856e+02,7.861621859057579968e+03,3.653310371854932459e+00,3.319203307111111371e+03,2.195048372871432889e+02,-2.411608698675506801e+01
2.000000000000000000e+01,7.309569247222127160e+03,5.496066028689449467e+02,7.859175850091071879e+03,2.943765410576528296e+00,3.319203307111111371e+03,2.202178818177665107e+02,-2.425772698019499529e+01
2.100000000000000000e+01,7.306421847623134454e+03,5.511622701709186458e+02,7.857584117794052872e+03,2.372109687184441373e+00,3.319203307111111371e+03,2.207924390307589704e+02,-2.437516056344081505e+01
2.200000000000000000e+01,7.304126369680727294e+03,5.524218079590335719e+02,7.856548177639760979e+03,1.911530535645182827e+00,3.319203307111111371e+03,2.212554218234381551e+02,-2.447244445232269072e+01
2.300000000000000000e+01,7.302432294224879115e+03,5.534415860553378934e+02,7.855873880280217236e+03,1.540432166770035805e+00,3.319203307111111371e+03,2.216285098599930734e+02,-2.455297336583974754e+01
