学习率,状态,迭代次数,耗时中位数_ms,训练_RMSE,测试_RMSE,测试_R2,参数相对误差
0.05,收敛,470,13.513299999431183,120.76137106844979,122.12992845016242,0.7855401177083372,3.4414581901765762e-12
0.1,收敛,229,6.617399999413465,120.76137106844978,122.12992845015657,0.7855401177083577,3.4263410675355992e-12
0.2,收敛,108,3.0329999999594293,120.76137106844979,122.12992845011014,0.7855401177085208,3.645152710690956e-12
1.0,收敛,7,0.21120000019436702,120.76137106844979,122.12992845049038,0.7855401177071855,3.839005852951414e-13
1.8,收敛,137,3.7186999998084502,120.76137106844979,122.12992844963202,0.7855401177101999,3.689264534001215e-12
2.2,发散,54,1.5502000005653827,29291433.698540717,30566918.044331506,-13433994402.030403,8697.479429301104
