方法,lambda1,lambda2,CV_RMSE,共同学习率,状态,迭代次数,耗时中位数_ms,训练_MSE,训练_RMSE,训练_R2,测试_MSE,测试_RMSE,测试_R2,标准化面积系数,标准化房龄系数
无正则化,0.0,0.0,121.15716495368554,1,收敛,7,0.4257000000507105,14583.308742331821,120.76137106844979,0.7785860745168262,14915.719423321902,122.12992845049038,0.7855401177071855,225.48337654826128,-27.237603560842242
L1,0.01,0.0,121.15716021272975,1,收敛,7,0.43279999954393134,14583.308947398531,120.76137191750735,0.7785860714033609,14915.511383466259,122.12907673222728,0.7855431089275005,225.47312321406406,-27.22735022664501
L2,0.0,0.0001,121.15714928515325,1,收敛,7,0.4596999997374951,14583.309261425507,120.76137321770364,0.7785860666355852,14915.723736794758,122.12994610984956,0.7855400556875902,225.46074937118362,-27.2343210678875
L1+L2,0.01,0.0001,121.15714668767676,1,收敛,7,0.21749999996245606,14583.30998459045,120.76137621189339,0.7785860556559925,14915.516245742512,122.12909663852636,0.7855430390171486,225.45049708818726,-27.224068784891042
