step,data_loss,penalty,objective,optimality,b,w_area,w_age
0.000000000000000000e+00,3.293223023463369464e+04,0.000000000000000000e+00,3.293223023463369464e+04,2.248104036109171204e+02,3.319203307111111371e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.402289750864608504e+04,9.759677197554676553e+00,2.403265718584364004e+04,1.810251525315437959e+02,3.319203307111111371e+03,4.344353081184543441e+01,-4.186942101686152995e+00
2.000000000000000000e+00,1.822348000634674099e+04,3.182167678354751672e+01,1.825530168313028844e+04,1.457728235320087720e+02,3.319203307111111371e+03,7.842577213789249413e+01,-7.763912459605736061e+00
3.000000000000000000e+00,1.444548156532064058e+04,5.881556755983809381e+01,1.450429713288047788e+04,1.173895175770795021e+02,3.319203307111111371e+03,1.065956701894210852e+02,-1.080959373663237066e+01
4.000000000000000000e+00,1.198204240793012104e+04,8.655146937483618785e+01,1.206859387730495655e+04,9.453598597405502346e+01,3.319203307111111371e+03,1.292806306802792164e+02,-1.339518080788890053e+01
5.000000000000000000e+00,1.037397852026058536e+04,1.127877789387901117e+02,1.048676629919937477e+04,7.613424856720654077e+01,3.319203307111111371e+03,1.475492559463948226e+02,-1.558430733832324222e+01
6.000000000000000000e+00,9.322883627934432297e+03,1.364542624697229201e+02,9.459337890404154678e+03,6.131659342542451441e+01,3.319203307111111371e+03,1.622618338357639800e+02,-1.743328623914738884e+01
7.000000000000000000e+00,8.634748556127144184e+03,1.571660950596041744e+02,8.791914651186747506e+03,4.938453788226097885e+01,3.319203307111111371e+03,1.741109710330136409e+02,-1.899154424556100906e+01
8.000000000000000000e+00,8.183372800593644570e+03,1.749230939898376107e+02,8.358295894583481640e+03,3.977580412040918389e+01,3.319203307111111371e+03,1.836542958020483525e+02,-2.030216566192689243e+01
9.000000000000000000e+00,7.886614778572023170e+03,1.899262554763592732e+02,8.076541034048382244e+03,3.203774319588208641e+01,3.319203307111111371e+03,1.913407789190023323e+02,-2.140248609674580749e+01
1.000000000000000000e+01,7.690971787861970370e+03,2.024681165144177442e+02,7.893439904376387858e+03,2.580594760872127225e+01,3.319203307111111371e+03,1.975319189254993830e+02,-2.232469595753479297e+01
1.100000000000000000e+01,7.561565366939864361e+03,2.128691843966780652e+02,7.774434551336542427e+03,2.078703883126178198e+01,3.319203307111111371e+03,2.025187943639184027e+02,-2.309642727938737750e+01
1.200000000000000000e+01,7.475635154709203562e+03,2.214427845077352686e+02,7.697077939216938830e+03,1.674481432903852607e+01,3.319203307111111371e+03,2.065357897851618532e+02,-2.374130740737768974e+01
1.300000000000000000e+01,7.418310566099600692e+03,2.284771630306760528e+02,7.646787729130276603e+03,1.348909798354589640e+01,3.319203307111111371e+03,2.097716447347451947e+02,-2.427947012235851787e+01
1.400000000000000000e+01,7.379861677281151060e+03,2.342278323162799154e+02,7.614089509597431061e+03,1.086676603362428217e+01,3.319203307111111371e+03,2.123783481366322405e+02,-2.472801973656352459e+01
1.500000000000000000e+01,7.353910987250094877e+03,2.389157945410106549e+02,7.592826781791105532e+03,8.754523791665405952e+00,3.319203307111111371e+03,2.144782984833427406e+02,-2.510144705312841396e+01
1.600000000000000000e+01,7.336269557684084248e+03,2.427289609812212632e+02,7.578998518665305710e+03,7.053091366535946705e+00,3.319203307111111371e+03,2.161700681611575021e+02,-2.541199830682669969e+01
