step,data_loss,penalty,objective,optimality,b,w_area,w_age
3.300000000000000000e+01,1.390576121333792435e+04,6.398565999804427520e+03,2.030432721314235096e+04,1.596249660807984583e-01,3.319203307111111371e+03,1.111016263847677550e+02,-1.204156648489514048e+01
3.400000000000000000e+01,1.390394813020611036e+04,6.400376757065655511e+03,2.030432488727176678e+04,1.281592828876938484e-01,3.319203307111111371e+03,1.111172039975941459e+02,-1.204457877906559382e+01
3.500000000000000000e+01,1.390249218011700032e+04,6.401831206232014665e+03,2.030432338634901680e+04,1.028970892824929706e-01,3.319203307111111371e+03,1.111297109113805703e+02,-1.204703343792726677e+01
3.600000000000000000e+01,1.390132297849915085e+04,6.402999439249627358e+03,2.030432241774877912e+04,8.261518444845705744e-02,3.319203307111111371e+03,1.111397525173846930e+02,-1.204903323999160669e+01
3.700000000000000000e+01,1.390038402433375813e+04,6.403937768322698503e+03,2.030432179265645755e+04,6.633159268885435722e-02,3.319203307111111371e+03,1.111478148361341738e+02,-1.205066211558924749e+01
3.800000000000000000e+01,1.389962995762732680e+04,6.404691431609456231e+03,2.030432138923678212e+04,5.325798494359901269e-02,3.319203307111111371e+03,1.111542880583025834e+02,-1.205198858323617550e+01
3.900000000000000000e+01,1.389902435998056899e+04,6.405296768890842031e+03,2.030432112887141193e+04,4.276148590764705659e-02,3.319203307111111371e+03,1.111594854424570542e+02,-1.205306856377344715e+01
4.000000000000000000e+01,1.389853799024173713e+04,6.405782970585848489e+03,2.030432096082758653e+04,3.433401502533683924e-02,3.319203307111111371e+03,1.111636584856075416e+02,-1.205394768403020400e+01
4.100000000000000000e+01,1.389814736887572326e+04,6.406173483490513718e+03,2.030432085236623607e+04,2.756767501567480849e-02,3.319203307111111371e+03,1.111670091017797546e+02,-1.205466316188741338e+01
4.200000000000000000e+01,1.389783364192997033e+04,6.406487140429422652e+03,2.030432078235939116e+04,2.213499487673686872e-02,3.319203307111111371e+03,1.111696993987831803e+02,-1.205524534823883975e+01
4.300000000000000000e+01,1.389758166924645775e+04,6.406739067925361269e+03,2.030432073717181993e+04,1.777306970325298607e-02,3.319203307111111371e+03,1.111718595269170748e+02,-1.205571898785115081e+01
4.400000000000000000e+01,1.389737929257084761e+04,6.406941415432718713e+03,2.030432070800356450e+04,1.427082861276574022e-02,3.319203307111111371e+03,1.111735939799000334e+02,-1.205610425001682628e+01
4.500000000000000000e+01,1.389721674800952496e+04,6.407103941165584729e+03,2.030432068917511060e+04,1.145881373057022756e-02,3.319203307111111371e+03,1.111749866532912989e+02,-1.205641757075425602e+01
4.600000000000000000e+01,1.389708619432898377e+04,6.407234482691771518e+03,2.030432067702075437e+04,9.200974922919158416e-03,3.319203307111111371e+03,1.111761049054552757e+02,-1.205667234079518479e+01
4.700000000000000000e+01,1.389698133423345826e+04,6.407339334941060770e+03,2.030432066917451812e+04,7.388082682140861834e-03,3.319203307111111371e+03,1.111770028177837446e+02,-1.205687946742519934e+01
4.800000000000000000e+01,1.389689711027751400e+04,6.407423553831716163e+03,2.030432066410922926e+04,5.932440004258410227e-03,3.319203307111111371e+03,1.111777238120891980e+02,-1.205704783317190198e+01
4.900000000000000000e+01,1.389682946069455102e+04,6.407491200144592767e+03,2.030432066083914469e+04,4.763637055887670613e-03,3.319203307111111371e+03,1.111783027519365845e+02,-1.205718467017229045e+01
5.000000000000000000e+01,1.389677512332833976e+04,6.407545535399616710e+03,2.030432065872795647e+04,3.825142970242723095e-03,3.319203307111111371e+03,1.111787676296779779e+02,-1.205729586563608002e+01
5.100000000000000000e+01,1.389673147818616235e+04,6.407589179178761697e+03,2.030432065736492223e+04,3.071569674531815508e-03,3.319203307111111371e+03,1.111791409208846062e+02,-1.205738621102062069e+01
5.200000000000000000e+01,1.389669642100243800e+04,6.407624235482453514e+03,2.030432065648489151e+04,2.466475220060715401e-03,3.319203307111111371e+03,1.111794406717590107e+02,-1.205745960523736748e+01
5.300000000000000000e+01,1.389666826170271815e+04,6.407652394213966545e+03,2.030432065591668652e+04,1.980600219766870396e-03,3.319203307111111371e+03,1.111796813721767876e+02,-1.205751922032900758e+01
5.400000000000000000e+01,1.389664564286254426e+04,6.407675012687264825e+03,2.030432065554981091e+04,1.590451992882435661e-03,3.319203307111111371e+03,1.111798746566243636e+02,-1.205756763651567098e+01
5.500000000000000000e+01,1.389662747422246321e+04,6.407693181090457074e+03,2.030432065531292028e+04,1.277167846268412177e-03,3.319203307111111371e+03,1.111800298669650289e+02,-1.205760695224759793e+01
5.600000000000000000e+01,1.389661288009683994e+04,6.407707775063114241e+03,2.030432065515995419e+04,1.025602455868579455e-03,3.319203307111111371e+03,1.111801545042740429e+02,-1.205763887386962097e+01
5.700000000000000000e+01,1.389660115713709638e+04,6.407719497924083953e+03,2.030432065506117942e+04,8.235951614778969088e-04,3.319203307111111371e+03,1.111802545916122824e+02,-1.205766478865826841e+01
5.800000000000000000e+01,1.389659174041022379e+04,6.407728914587166400e+03,2.030432065499739110e+04,6.613816995439947277e-04,3.319203307111111371e+03,1.111803349652960833e+02,-1.205768582430241764e+01
5.900000000000000000e+01,1.389658417615530743e+04,6.407736478800899022e+03,2.030432065495620554e+04,5.311218987316124185e-04,3.319203307111111371e+03,1.111803995087587964e+02,-1.205770289733339240e+01
6.000000000000000000e+01,1.389657809990297392e+04,6.407742555026631635e+03,2.030432065492960464e+04,4.265204747468942514e-04,3.319203307111111371e+03,1.111804513403206442e+02,-1.205771675254985453e+01
6.100000000000000000e+01,1.389657321890206549e+04,6.407747436010359706e+03,2.030432065491242611e+04,3.425225706763512790e-04,3.319203307111111371e+03,1.111804929639524744e+02,-1.205772799510536508e+01
6.200000000000000000e+01,1.389656929800534817e+04,6.407751356895983918e+03,2.030432065490133391e+04,2.750693083442001807e-04,3.319203307111111371e+03,1.111805263903275716e+02,-1.205773711661941583e+01
6.300000000000000000e+01,1.389656614833335152e+04,6.407754506560817390e+03,2.030432065489416709e+04,2.209015174514661339e-04,3.319203307111111371e+03,1.111805532340180775e+02,-1.205774451642108680e+01
6.400000000000000000e+01,1.389656361816944991e+04,6.407757036720090582e+03,2.030432065488953958e+04,1.774021508822443138e-04,3.319203307111111371e+03,1.111805747915375377e+02,-1.205775051882947047e+01
6.500000000000000000e+01,1.389656158564691941e+04,6.407759069239631572e+03,2.030432065488654916e+04,1.424697537117936008e-04,3.319203307111111371e+03,1.111805921040049299e+02,-1.205775538720801343e+01
6.600000000000000000e+01,1.389655995287525002e+04,6.407760702009372835e+03,2.030432065488462104e+04,1.144168724351857236e-04,3.319203307111111371e+03,1.111806060074607387e+02,-1.205775933539274902e+01
6.700000000000000000e+01,1.389655864122238381e+04,6.407762013660989396e+03,2.030432065488337321e+04,9.188848029850760213e-05,3.319203307111111371e+03,1.111806171732688426e+02,-1.205776253698398115e+01
6.800000000000000000e+01,1.389655758752544352e+04,6.407763067357126602e+03,2.030432065488256922e+04,7.379648195637855679e-05,3.319203307111111371e+03,1.111806261405576350e+02,-1.205776513289928786e+01
6.900000000000000000e+01,1.389655674104705395e+04,6.407763913834993218e+03,2.030432065488204535e+04,5.926712161397063028e-05,3.319203307111111371e+03,1.111806333422695729e+02,-1.205776723751244006e+01
7.000000000000000000e+01,1.389655606103068749e+04,6.407764593851024983e+03,2.030432065488171065e+04,4.759875480431219330e-05,3.319203307111111371e+03,1.111806391260783187e+02,-1.205776894364214868e+01
7.100000000000000000e+01,1.389655551473699961e+04,6.407765140144496399e+03,2.030432065488149601e+04,3.822794246843841393e-05,3.319203307111111371e+03,1.111806437711848616e+02,-1.205777032660546588e+01
7.200000000000000000e+01,1.389655507586656677e+04,6.407765579014787363e+03,2.030432065488135413e+04,3.070222285828094755e-05,3.319203307111111371e+03,1.111806475018048417e+02,-1.205777144751084506e+01
7.300000000000000000e+01,1.389655472329299118e+04,6.407765931588276544e+03,2.030432065488126682e+04,2.465825170361313212e-05,3.319203307111111371e+03,1.111806504979986840e+02,-1.205777235593303409e+01
7.400000000000000000e+01,1.389655444004520723e+04,6.407766214835997744e+03,2.030432065488120497e+04,1.980424507053157868e-05,3.319203307111111371e+03,1.111806529043684861e+02,-1.205777309208550108e+01
7.500000000000000000e+01,1.389655421249012034e+04,6.407766442391047349e+03,2.030432065488116859e+04,1.590588560418382258e-05,3.319203307111111371e+03,1.111806548370414873e+02,-1.205777368858464449e+01
7.600000000000000000e+01,1.389655402967594273e+04,6.407766625205202217e+03,2.030432065488114313e+04,1.277500150820287672e-05,3.319203307111111371e+03,1.111806563892781696e+02,-1.205777417188223133e+01
7.700000000000000000e+01,1.389655388280479383e+04,6.407766772076332018e+03,2.030432065488112494e+04,1.026047810626096179e-05,3.319203307111111371e+03,1.111806576359755496e+02,-1.205777456342834419e+01
7.800000000000000000e+01,1.389655376480905215e+04,6.407766890072066417e+03,2.030432065488111766e+04,8.240959260774616268e-06,3.319203307111111371e+03,1.111806586372835426e+02,-1.205777488061531777e+01
7.900000000000000000e+01,1.389655367001098602e+04,6.407766984870125270e+03,2.030432065488111039e+04,6.618985736395188724e-06,3.319203307111111371e+03,1.111806594415090643e+02,-1.205777513754401653e+01
8.000000000000000000e+01,1.389655359384942312e+04,6.407767061031685444e+03,2.030432065488110675e+04,5.316289900747506181e-06,3.319203307111111371e+03,1.111806600874481035e+02,-1.205777534564560405e+01
8.100000000000000000e+01,1.389655353266012389e+04,6.407767122220981946e+03,2.030432065488110675e+04,4.270014656526655017e-06,3.319203307111111371e+03,1.111806606062585843e+02,-1.205777551418611537e+01
8.200000000000000000e+01,1.389655348349939231e+04,6.407767171381713524e+03,2.030432065488110675e+04,3.429679765076798503e-06,3.319203307111111371e+03,1.111806610229643013e+02,-1.205777565067584867e+01
8.300000000000000000e+01,1.389655344400236027e+04,6.407767210878740116e+03,2.030432065488109947e+04,2.754744272692732920e-06,3.319203307111111371e+03,1.111806613576627143e+02,-1.205777576120149597e+01
8.400000000000000000e+01,1.389655341226916971e+04,6.407767242611928850e+03,2.030432065488109947e+04,2.212648652744064748e-06,3.319203307111111371e+03,1.111806616264949668e+02,-1.205777585069551350e+01
8.500000000000000000e+01,1.389655338677351210e+04,6.407767268107587370e+03,2.030432065488109947e+04,1.777244264644650684e-06,3.319203307111111371e+03,1.111806618424247546e+02,-1.205777592315472013e+01
8.600000000000000000e+01,1.389655336628917576e+04,6.407767288591925535e+03,2.030432065488109947e+04,1.427530122555253911e-06,3.319203307111111371e+03,1.111806620158639305e+02,-1.205777598181743926e+01
8.700000000000000000e+01,1.389655334983103057e+04,6.407767305050069808e+03,2.030432065488109947e+04,1.146639348803546454e-06,3.319203307111111371e+03,1.111806621551749146e+02,-1.205777602930725401e+01
8.800000000000000000e+01,1.389655333660763790e+04,6.407767318273461569e+03,2.030432065488109947e+04,9.210261566749977646e-07,3.319203307111111371e+03,1.111806622670740978e+02,-1.205777606774951671e+01
8.900000000000000000e+01,1.389655332598314089e+04,6.407767328897955849e+03,2.030432065488109583e+04,7.398103036848624470e-07,3.319203307111111371e+03,1.111806623569559633e+02,-1.205777609886583157e+01
9.000000000000000000e+01,1.389655331744670912e+04,6.407767337434393085e+03,2.030432065488110311e+04,5.942546437154305750e-07,3.319203307111111371e+03,1.111806624291531875e+02,-1.205777612405062449e+01
9.100000000000000000e+01,1.389655331058790216e+04,6.407767344293195492e+03,2.030432065488109947e+04,4.773400803514959989e-07,3.319203307111111371e+03,1.111806624871457956e+02,-1.205777614443326407e+01
9.200000000000000000e+01,1.389655330507699546e+04,6.407767349804102196e+03,2.030432065488109947e+04,3.834305459804454586e-07,3.319203307111111371e+03,1.111806625337288494e+02,-1.205777616092835025e+01
9.300000000000000000e+01,1.389655330064906593e+04,6.407767354232033540e+03,2.030432065488109947e+04,3.079988033505287603e-07,3.319203307111111371e+03,1.111806625711473799e+02,-1.205777617427651727e+01
9.400000000000000000e+01,1.389655329709126272e+04,6.407767357789837661e+03,2.030432065488109947e+04,2.474085363246558700e-07,3.319203307111111371e+03,1.111806626012046166e+02,-1.205777618507745963e+01
