step,data_loss,penalty,objective,optimality,b,w_area,w_age
0.000000000000000000e+00,3.293223023463369464e+04,0.000000000000000000e+00,3.293223023463369464e+04,2.248104036109171204e+02,3.319203307111111371e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.468062980685662114e+04,8.227972486963241749e+01,2.476290953172625450e+04,1.809288664698592299e+02,3.319203307111111371e+03,3.988906010905807165e+01,-3.844374111548194417e+00
2.000000000000000000e+00,1.919765299444071206e+04,2.681366313884444708e+02,1.946578962582915483e+04,1.456170021500072664e+02,3.319203307111111371e+03,7.199203361099027632e+01,-7.111598815472472523e+00
3.000000000000000000e+00,1.553530474777184827e+04,4.953553373661977162e+02,1.603066008513804627e+04,1.172003912548176174e+02,3.319203307111111371e+03,9.782947377552724788e+01,-9.880439941603123444e+00
4.000000000000000000e+00,1.307413159253459889e+04,7.286286286572488962e+02,1.380276022119184745e+04,9.433194169896216863e+01,3.319203307111111371e+03,1.186248345616751294e+02,-1.222092149702590369e+01
5.000000000000000000e+00,1.140855228614866792e+04,9.491102271954648586e+02,1.235766251334413209e+04,7.592786830439295898e+01,3.319203307111111371e+03,1.353625496860446447e+02,-1.419473323681530630e+01
6.000000000000000000e+00,1.027237796605528638e+04,1.147835849747328666e+03,1.142021381580261550e+04,6.111620013567369369e+01,3.319203307111111371e+03,1.488347522803177299e+02,-1.585581312342431914e+01
7.000000000000000000e+00,9.490400788317821934e+03,1.321613181210027278e+03,1.081201396952784853e+04,4.919536287209106717e+01,3.319203307111111371e+03,1.596788579875801304e+02,-1.725102066455546179e+01
8.000000000000000000e+00,8.946899422492802842e+03,1.470481603980977752e+03,1.041738102647378037e+04,3.960086394882687699e+01,3.319203307111111371e+03,1.684077991538797505e+02,-1.842084329795005360e+01
9.000000000000000000e+00,8.565128511288994559e+03,1.596165046231254109e+03,1.016129355752024821e+04,3.187849447982543083e+01,3.319203307111111371e+03,1.754343478235725229e+02,-1.940009714131881680e+01
1.000000000000000000e+01,8.293944506536465269e+03,1.701149059075545665e+03,9.995093565612010934e+03,2.566277256224951131e+01,3.319203307111111371e+03,1.810906838385766093e+02,-2.021859729526367033e+01
1.100000000000000000e+01,8.099071621589240749e+03,1.788146882349953103e+03,9.887218503939193397e+03,2.065960229631129508e+01,3.319203307111111371e+03,1.856441380420232008e+02,-2.090178280986291881e+01
1.200000000000000000e+01,7.957387582306893819e+03,1.859805101395853626e+03,9.817192683702747672e+03,1.663232366372906768e+01,3.319203307111111371e+03,1.893098585985018190e+02,-2.147128841526364695e+01
1.300000000000000000e+01,7.853176833901223290e+03,1.918554520197162446e+03,9.771731354098385054e+03,1.339048988247963479e+01,3.319203307111111371e+03,1.922610020852776245e+02,-2.194545994117711984e+01
1.400000000000000000e+01,7.775667281507669941e+03,1.966547051352817789e+03,9.742214332860487048e+03,1.078083870377412623e+01,3.319203307111111371e+03,1.946369333021282273e+02,-2.233981358933788286e+01
1.500000000000000000e+01,7.717405723280208804e+03,2.005641833707055184e+03,9.723047556987263306e+03,8.680028536636505976e+00,3.319203307111111371e+03,1.965498230802417936e+02,-2.266744131249954464e+01
1.600000000000000000e+01,7.673182360854571016e+03,2.037418003447456385e+03,9.710600364302026719e+03,6.988794258444183782e+00,3.319203307111111371e+03,1.980899572309969869e+02,-2.293936581929325769e+01
1.700000000000000000e+01,7.639315614213598565e+03,2.063200509419189984e+03,9.702516123632787640e+03,5.627245101939038818e+00,3.319203307111111371e+03,1.993300085355060105e+02,-2.316484940863306718e+01
1.800000000000000000e+01,7.613174026109350962e+03,2.084090974610971443e+03,9.697265000720322860e+03,4.531081321058366029e+00,3.319203307111111371e+03,2.003284744183756345e+02,-2.335166111936732491e+01
1.900000000000000000e+01,7.592854696873650937e+03,2.100999082424387780e+03,9.693853779298038717e+03,3.648550018806218986e+00,3.319203307111111371e+03,2.011324433284957252e+02,-2.350630669177914456e+01
2.000000000000000000e+01,7.576965472618622698e+03,2.114672090835526433e+03,9.691637563454149131e+03,2.937995652235059652e+00,3.319203307111111371e+03,2.017798209795004709e+02,-2.363422567261726570e+01
2.100000000000000000e+01,7.564476226703716748e+03,2.125721350800767596e+03,9.690197577504484798e+03,2.365888986449192544e+00,3.319203307111111371e+03,2.023011219659751987e+02,-2.373995972295868384e+01
2.200000000000000000e+01,7.554616405744231997e+03,2.134645446964672374e+03,9.689261852708903461e+03,1.905240997429068273e+00,3.319203307111111371e+03,2.027209116486411347e+02,-2.382729585671797068e+01
2.300000000000000000e+01,7.546803751682912662e+03,2.141849992168024528e+03,9.688653743850936735e+03,1.534326504794321977e+00,3.319203307111111371e+03,2.030589666116143803e+02,-2.389938798056590485e+01
2.400000000000000000e+01,7.540594185975275650e+03,2.147664321008241131e+03,9.688258506983516781e+03,1.235657020749247437e+00,3.319203307111111371e+03,2.033312086484312715e+02,-2.395885974608252411e+01
2.500000000000000000e+01,7.535646177317245929e+03,2.152355422565242861e+03,9.688001599882489245e+03,9.951541303181024034e-01,3.319203307111111371e+03,2.035504564963206917e+02,-2.400789137693173814e+01
2.600000000000000000e+01,7.531695113328245498e+03,2.156139478691301520e+03,9.687834592019546108e+03,8.014842334433502913e-01,3.319203307111111371e+03,2.037270308998377857e+02,-2.404829280681667925e+01
2.700000000000000000e+01,7.528534651669590858e+03,2.159191362938473958e+03,9.687726014608064361e+03,6.455231342521656757e-01,3.319203307111111371e+03,2.038692416349762482e+02,-2.408156516304940808e+01
