step,data_loss,penalty,objective,optimality,b,w_area,w_age
0.000000000000000000e+00,3.293223023463369464e+04,0.000000000000000000e+00,3.293223023463369464e+04,2.248104036109171204e+02,3.319203307111111371e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,4.042429480022975622e+04,0.000000000000000000e+00,4.042429480022975622e+04,2.566979070014825766e+02,3.319203307111110917e+03,4.826576273196029092e+02,-4.651692674973317310e+01
2.000000000000000000e+00,5.046766137710394105e+04,0.000000000000000000e+00,5.046766137710394105e+04,2.937350999346802496e+02,3.319203307111114555e+03,-6.846100749978239719e+01,-1.876713261419025969e+01
3.000000000000000000e+00,6.403836893970060191e+04,0.000000000000000000e+00,6.403836893970060191e+04,3.368366186808896714e+02,3.319203307111106824e+03,5.621747821157587168e+02,-2.136031340912188980e+01
4.000000000000000000e+00,8.251309986646221660e+04,0.000000000000000000e+00,8.251309986646221660e+04,3.870891989854603139e+02,3.319203307111119557e+03,-1.609979917219244498e+02,-5.183867015616809226e+01
5.000000000000000000e+00,1.078397972372015211e+05,0.000000000000000000e+00,1.078397972372015211e+05,4.457850791455385320e+02,3.319203307111100457e+03,6.700647675742164893e+02,2.147992724936375453e+01
6.000000000000000000e+00,1.427822396447533974e+05,0.000000000000000000e+00,1.427822396447533974e+05,5.144619882146082546e+02,3.319203307111127287e+03,-2.870153547819112418e+02,-1.066975784365144193e+02
7.000000000000000000e+00,1.912708957564359007e+05,0.000000000000000000e+00,1.912708957564359007e+05,5.949510273932088467e+02,3.319203307111090908e+03,8.175109419972210389e+02,9.108527843476031194e+01
8.000000000000000000e+00,2.589065595674362849e+05,0.000000000000000000e+00,2.589065595674362849e+05,6.894340134339028054e+02,3.319203307111139111e+03,-4.598216308758497917e+02,-1.943531330726560782e+02
9.000000000000000000e+00,3.536836761552453972e+05,0.000000000000000000e+00,3.536836761552453972e+05,8.005121657330093967e+02,3.319203307111076356e+03,1.020361580277281405e+03,2.007888370307973673e+02
1.000000000000000000e+01,4.870296463766761590e+05,0.000000000000000000e+00,4.870296463766761590e+05,9.312883941084689923e+02,3.319203307111157301e+03,-6.983013301006268421e+02,-3.309384700991979571e+02
1.100000000000000000e+01,6.752986920505616581e+05,0.000000000000000000e+00,6.752986920505616581e+05,1.085465894560781408e+03,3.319203307111053618e+03,1.301132145534345455e+03,3.700963152753147369e+02
1.200000000000000000e+01,9.419197507211812772e+05,0.000000000000000000e+00,9.419197507211812772e+05,1.267466300567525877e+03,3.319203307111185040e+03,-1.029313353383904996e+03,-5.400200990178153688e+02
1.300000000000000000e+01,1.320485529804178281e+06,0.000000000000000000e+00,1.320485529804178281e+06,1.482571285653041969e+03,3.319203307111019967e+03,1.691878671155341635e+03,6.274621722965931667e+02
1.400000000000000000e+01,1.859196060550904367e+06,0.000000000000000000e+00,1.859196060550904367e+06,1.737092290680243423e+03,3.319203307111225968e+03,-1.491133892195268345e+03,-8.559344193771840992e+02
1.500000000000000000e+01,2.627251810710268095e+06,0.000000000000000000e+00,2.627251810710268095e+06,2.038573982422529298e+03,3.319203307110970400e+03,2.238323597263130068e+03,1.014299077193683274e+03
1.600000000000000000e+01,3.724053059564747848e+06,0.000000000000000000e+00,3.724053059564747848e+06,2.396038169558682057e+03,3.319203307111285994e+03,-2.138401259182751346e+03,-1.328605249595558234e+03
1.700000000000000000e+01,5.292438971913157962e+06,0.000000000000000000e+00,5.292438971913157962e+06,2.820276245573460983e+03,3.319203307110898095e+03,3.005782814646464431e+03,1.590765696457380727e+03
1.800000000000000000e+01,7.537742260328105651e+06,0.000000000000000000e+00,7.537742260328105651e+06,3.324199839876969691e+03,3.319203307111373306e+03,-3.049220953907871262e+03,-2.030496558846873995e+03
1.900000000000000000e+01,1.075521640598847717e+07,0.000000000000000000e+00,1.075521640598847717e+07,3.923261292458274966e+03,3.319203307110792139e+03,4.087683662962394010e+03,2.444118052913170686e+03
2.000000000000000000e+01,1.536951710396585241e+07,0.000000000000000000e+00,1.536951710396585241e+07,4.635957887979456245e+03,3.319203307111501545e+03,-4.335378421166145927e+03,-3.066642937314662049e+03
