candidate,family,rmse,rmse_std,mae,r2,nonzero,train_rmse
dimension:pls:7,pls,185.53147669353766,3.515117012021146,148.10009559777944,0.9644742029394932,10.0,185.0548707411936
dimension:pls:8,pls,185.4920710546152,3.4241454861855374,148.09601030685417,0.9644887375884703,10.0,185.02225354388779
dimension:pls:9,pls,185.48797077423933,3.4237826222542385,148.0803252626634,0.9644904563200953,10.0,185.0194695002308
domain:elastic,domain,155.58801736132145,2.1294230120856357,124.30775342716348,0.9750243636441743,16.0,155.1439681310857
domain:lasso,domain,155.59064811775153,2.1331696374275797,124.30809117487289,0.9750235214029193,15.8,155.14694645144317
domain:ols,domain,155.58839266561895,2.1303749173366406,124.30473714580796,0.9750242549532164,16.0,155.14374880275622
domain:ridge,domain,155.5884215592159,2.1302669557127962,124.30579845880675,0.9750242443473158,16.0,155.14376060890274
encoded:elastic,encoded,179.4105907801351,3.277622885276802,142.5957373106424,0.966790404527395,14.2,178.64919355895762
encoded:lasso,encoded,179.42290922456152,3.2969557454272342,142.60625014848563,0.96678601587985,14.2,178.64816491286476
encoded:ols,encoded,179.41734093285567,3.2922197010394605,142.6037927931774,0.9667880399782833,14.2,178.64795441666638
encoded:ridge,encoded,179.41673524739733,3.287907244430278,142.60254156644544,0.9667882489038282,14.2,178.64806170284666
mean:mean,mean,986.0385478973074,25.83459695873494,810.6266706998844,-0.001550994814446449,0.0,986.0037642384628
pcr:ols,pcr,185.48794101291838,3.4232545354204023,148.08134677432176,0.9644904444359005,10.0,185.0194337315974
pcr:ridge,pcr,185.48958140502617,3.418460420358294,148.07837510710505,0.9644898230015706,10.0,185.01953860463726
pls:pls,pls,185.50009147412433,3.410421946911823,148.09610110099464,0.9644857290099729,10.0,185.0201019202966
quadratic:elastic,quadratic,129.86091460859436,3.9658815123629343,103.365211338921,0.9825991912338056,64.0,128.25458486068243
quadratic:lasso,quadratic,129.5910269277487,4.046844985066496,103.19475385349983,0.9826711019109435,36.6,128.6130299375082
quadratic:ols,quadratic,129.8650234299932,3.9321828171228055,103.37488148719879,0.9825984192046157,64.0,128.24641503781467
quadratic:ridge,quadratic,129.86159245903912,3.950112603259166,103.37187123683961,0.9825991501580196,64.0,128.24733787652693
raw:elastic,raw,185.49069716581624,3.412422139724361,148.07176520504845,0.964489369979108,10.0,185.02018746488523
raw:lasso,raw,185.4968805274914,3.427609661384544,148.08894579613724,0.9644872061609805,10.0,185.01973945751462
raw:ols,raw,185.48794101291838,3.423254535420428,148.0813467743218,0.9644904444359005,10.0,185.0194337315974
raw:ridge,raw,185.48958140502617,3.4184604203583384,148.0783751071051,0.9644898230015706,10.0,185.01953860463726
spline:elastic,spline,129.04571461683975,3.1243134742461813,102.70795386775812,0.9828158183571318,36.6,128.16830967879568
spline:lasso,spline,128.9397712499803,3.0375773463214055,102.62218451127805,0.9828462240066953,36.4,128.15166309838656
spline:ols,spline,129.0404775232193,3.0827844695944733,102.71101533719529,0.982817193851693,36.6,128.16414431619438
spline:ridge,spline,129.04608101660725,3.1002798042785633,102.71206065344597,0.9828157251724704,36.6,128.16488337388546
