method,neighbors,seed,trustworthiness,neighbor_overlap,distance_rank,fit_seconds
UMAP,30,42,0.9380081961706416,0.2661777777777778,0.5384421595034419,
UMAP,30,2026,0.9364246407643788,0.2642,0.5422345245122464,
UMAP,30,3407,0.9365479416265442,0.2667111111111111,0.5386358903896675,
PaCMAP,30,42,0.9278856641660135,0.18111111111111108,0.5392119665170041,1.184962400002405
PaCMAP,30,2026,0.9134797297801664,0.17362222222222218,0.55835944749083,1.1343399999968824
PaCMAP,30,3407,0.913955383868921,0.1695111111111111,0.5587099279129509,1.1533353999984683
PaCMAP,10,42,0.9300242152801105,0.2255111111111111,0.5376003215172668,0.45600520000152756
PaCMAP,10,2026,0.9303657746426306,0.22622222222222224,0.534349264748625,0.45380540000041947
PaCMAP,10,3407,0.9286386966745045,0.22253333333333333,0.5323252999192124,0.46331590000045253
