方案,特征数,alpha,CV_RMSE,内部验证RMSE,训练MSE,训练RMSE,训练MAE,训练R2,测试MSE,测试RMSE,测试MAE,测试R2
M1,10,0.03162277660168379,186.37908417323945,181.59510387399536,34250.94505058809,185.0701084740269,147.7035846579543,0.9647730546235276,34978.05626151638,187.02421303541524,149.11272660620963,0.9632792899812742
M2,12,0.1,180.75278226055116,177.27525718273662,32284.305827668388,179.67833989568243,143.6418171009182,0.9667957343591873,31911.69818266083,178.63845661743954,142.07841717661898,0.9664984181393793
M3,13,0.0001,163.81004736923683,160.91154132083344,26535.045782478745,162.8958126609728,129.09674719917703,0.972708822867195,24967.08861157472,158.00977378496154,126.44326902226052,0.9737890174896264
M4,14,0.03162277660168379,133.5062720098861,128.78500012688306,17495.461358893066,132.270409989888,105.36964159290005,0.9820059954341223,16392.9114727295,128.03480570817257,102.81958109085801,0.9827903716532405
M5,15,0.03162277660168379,129.25513304375085,124.76215197532214,16390.610028918192,128.025817821712,101.84101511126164,0.983142330136498,15606.118264170294,124.92445022560753,100.74848693765428,0.9836163639565346
