component,variance_ratio,cumulative_ratio
1,0.2513209277355565,0.2513209277355565
2,0.2056909230229365,0.457011850758493
3,0.16274974375276377,0.6197615945112568
4,0.13561225657282597,0.7553738510840827
5,0.07561748004598899,0.8309913311300717
6,0.06176391861050362,0.8927552497405753
7,0.03978442798862894,0.9325396777292042
8,0.03605004389707564,0.9685897216262799
9,0.018508025439860906,0.9870977470661407
10,0.012902252933859062,0.9999999999999998
