degree,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10
1.000000000000000000e+00,9.770818739605481085e+00,4.486643777671265099e+00,2.915295056896807235e+00,7.069776314665396022e+00,3.813479964021329049e+00,4.024978958819036556e+00,5.311673107941369487e+00,2.160866206481033114e+00,2.051598985405511666e+00,3.781218227501663254e+00
2.000000000000000000e+00,7.891471813820063019e+00,4.045719714430797254e+00,2.874256349318142778e+00,5.554164102607031417e+00,4.558207459722175336e+00,3.276930113415483348e+00,4.336372940828757905e+00,1.827117308943305707e+00,2.752438275546586155e+00,3.633557753421714498e+00
3.000000000000000000e+00,7.369372727196442652e-01,1.362346932658974108e+00,7.710272221343191790e-01,1.175166221019546153e+00,4.300459364704902754e-01,7.354617284309762359e-01,1.036958089837184627e+00,9.026067430948189196e-01,9.486779331457013686e-01,7.304403981221905262e-01
4.000000000000000000e+00,6.642991886765843290e-01,9.759255914573397028e-01,4.762974244151640946e-01,7.716228408164342856e-01,4.645887958429647524e-01,7.553088621196201169e-01,9.510256813932314035e-01,7.562116687209861077e-01,7.203132494255733986e-01,4.737682272267851880e-01
5.000000000000000000e+00,7.934936967466412749e-01,8.476915543000750342e-01,5.060784557964038699e-01,6.602989321085110941e-01,3.452856643482570265e-01,9.568338052423963624e-01,8.892065074273070024e-01,6.153032557725478524e-01,7.441457011473924243e-01,3.607652140270808383e-01
6.000000000000000000e+00,9.922008973896438988e-01,8.719485802519736373e-01,5.091341899923252923e-01,6.733624798674666678e-01,3.216676459138689825e-01,9.711949009802124388e-01,8.622417313844360498e-01,6.249561195781015988e-01,7.206472395164433831e-01,3.596737739706139525e-01
7.000000000000000000e+00,9.310095480365677689e-01,8.635787015058010718e-01,4.699701420465788315e-01,6.868842326708057833e-01,3.232282143575518907e-01,9.306891005637218939e-01,8.346482092883957815e-01,6.796153257654603541e-01,6.994447649104412745e-01,3.827357391792867158e-01
8.000000000000000000e+00,8.835566320477110658e-01,8.332767130488831775e-01,4.612632785408675717e-01,6.648315292626744144e-01,3.731841445995275341e-01,9.256420459330931827e-01,8.773743664305522216e-01,6.521010479572949547e-01,7.163751076558578790e-01,3.863054117472902727e-01
